Hotel,Country,Total Of Special Requests
City Hotel,BRA,3
City Hotel,ROU,1
City Hotel,ROU,1
City Hotel,BEL,0
City Hotel,FRA,2
City Hotel,PRT,2
City Hotel,PRT,1
City Hotel,SWE,1
City Hotel,SWE,1
City Hotel,LUX,0
City Hotel,FIN,2
City Hotel,GBR,2
City Hotel,DEU,2
City Hotel,IRL,0
City Hotel,FRA,3
City Hotel,NLD,3
City Hotel,DEU,2
City Hotel,CHE,0
City Hotel,CHE,0
City Hotel,PRT,0
City Hotel,NLD,1
City Hotel,DEU,2
City Hotel,SWE,2
City Hotel,SWE,1
City Hotel,GBR,1
City Hotel,FRA,0
City Hotel,FRA,2
City Hotel,NOR,1
City Hotel,PRT,0
City Hotel,NOR,1
City Hotel,SWE,1
City Hotel,PRT,1
City Hotel,NOR,2
City Hotel,GBR,1
City Hotel,SWE,1
City Hotel,AUT,1
City Hotel,DEU,1
City Hotel,SWE,1
City Hotel,PRT,1
City Hotel,GBR,3
City Hotel,GBR,2
City Hotel,PRT,1
City Hotel,GBR,0
City Hotel,USA,0
City Hotel,ESP,1
City Hotel,GBR,1
City Hotel,FRA,2
City Hotel,FRA,1
City Hotel,ITA,0
City Hotel,PRT,0
City Hotel,NLD,1
City Hotel,PRT,0
City Hotel,NLD,1
City Hotel,GBR,1
City Hotel,ESP,1
City Hotel,ESP,2
City Hotel,USA,1
City Hotel,SWE,2
City Hotel,CN,2
City Hotel,BEL,1
City Hotel,PRT,1
City Hotel,PRT,0
City Hotel,PRT,0
City Hotel,BRA,1
City Hotel,BEL,1
City Hotel,PRT,2
City Hotel,BEL,1
City Hotel,PRT,2
City Hotel,PRT,0
City Hotel,PRT,2
City Hotel,DEU,2
City Hotel,FRA,2
City Hotel,ESP,1
City Hotel,NOR,1
City Hotel,DEU,0
City Hotel,PRT,0
City Hotel,ESP,2
City Hotel,ESP,2
City Hotel,ESP,1
City Hotel,AUT,1
City Hotel,ESP,0
City Hotel,PRT,0
City Hotel,ESP,2
City Hotel,BEL,2
City Hotel,PRT,0
City Hotel,GRC,0
City Hotel,NOR,0
City Hotel,BEL,0
City Hotel,NOR,0
City Hotel,PRT,0
City Hotel,AUT,1
City Hotel,DNK,2
City Hotel,PRT,0
City Hotel,PRT,0
City Hotel,SWE,1
City Hotel,ESP,1
City Hotel,NLD,0
City Hotel,IRL,1
City Hotel,BEL,2
City Hotel,FRA,1
City Hotel,BEL,1
City Hotel,NZL,0
City Hotel,GBR,1
City Hotel,PRT,0
City Hotel,BGR,2
City Hotel,PRT,2
City Hotel,USA,0
City Hotel,PRT,2
City Hotel,GBR,2
City Hotel,FRA,1
City Hotel,PRT,2
City Hotel,PRT,1
City Hotel,PRT,2
City Hotel,ESP,0
City Hotel,ESP,2
City Hotel,NLD,1
City Hotel,NLD,0
City Hotel,PRT,2
City Hotel,NOR,0
City Hotel,DEU,0
City Hotel,NOR,2
City Hotel,ITA,0
City Hotel,BRA,2
City Hotel,FIN,1
City Hotel,PRT,0
City Hotel,ESP,1
City Hotel,PRT,0
City Hotel,FRA,1
City Hotel,ESP,3
City Hotel,PRT,0
City Hotel,PRT,0
City Hotel,PRT,0
City Hotel,FRA,2
City Hotel,PRT,0
City Hotel,NOR,1
City Hotel,CHE,1
City Hotel,GBR,0
City Hotel,CHE,1
City Hotel,ESP,2
City Hotel,DEU,2
City Hotel,PRT,2
City Hotel,IRL,1
City Hotel,CHE,3
City Hotel,PRT,2
City Hotel,ESP,1
City Hotel,PRT,2
City Hotel,PRT,2
City Hotel,AUT,1
City Hotel,IND,1
